Freq.	V(vout)
1.41253754462274e+005	2.21232197086742e-019,1.18477320912010e-019
1.58489319246110e+005	1.14823197033579e-019,5.34279454741354e-020
1.77827941003891e+005	5.91518437462705e-020,2.39615353389210e-020
1.99526231496886e+005	3.02950486259546e-020,1.06887755213492e-020
2.23872113856832e+005	1.54448448551183e-020,4.74158999297531e-021
2.51188643150955e+005	7.84557600109212e-021,2.09055605367321e-021
2.81838293126442e+005	3.97395172114337e-021,9.15186070665122e-022
3.16227766016835e+005	2.00831358143214e-021,3.97176222762768e-022
3.54813389233572e+005	1.01309449946114e-021,1.70468553588778e-022
3.98107170553493e+005	5.10307311614338e-022,7.20965330292225e-023
4.46683592150958e+005	2.56741229166256e-022,2.98768689214882e-023
5.01187233627267e+005	1.29042143995192e-022,1.20192994297188e-023
5.62341325190343e+005	6.48046967960302e-023,4.61730805978109e-024
6.30957344480186e+005	3.25212823815207e-023,1.63814564871158e-024
7.07945784384130e+005	1.63096848975684e-023,4.92726873323667e-025
7.94328234724273e+005	8.17439411662908e-024,8.57107968691414e-026
8.91250938133736e+005	4.09448116045207e-024,-3.71640739762487e-026
1.00000000000000e+006	2.04956994207890e-024,-5.89082177479465e-026
